Last_Name/Organization_Name/Title,First_Names/Author,Occupation_or_description,Race,Start_Date,End_Date,Boston_State_Date,Boston_End_Date,Type,Action,Start_Year_for_Location,End_Year_for_Location,Lat,Long,Original_Street_Address,Records_(semi-colon_separated),Digital_Assets_(semi-colon_separated),iiif_manifests_(semi-colon_separated),HAD_Links,Source_(semi-colon_separated),linked_data,Other_Repositories,Notes,Search_in_HOLLIS_Link,Presentation_Text,Layer
Holmes,Hosea,,Black,,,,,Person,lived,1826,1831,42.36069,-71.06506,12 Belknap St,,,,,Grover and da Silva,,,,,Hosea Holmes lived here in 1831. Source: Grover and da Silva,"Boston, 1780-1880"
Jackson,Henry,,Black,,,1856-07-18,1856-07-18,Person,found refuge,,1856,42.36011,-71.06538,3 Smith Court,,,,,Grover and da Silva,,,In Boston as a fugitive escaping from enslavement.,,Henry Jackson found refuge here in 1856. Notes: In Boston as a fugitive escaping from enslavement.. Source: Grover and da Silva,"Boston, 1780-1880"
Johnson,Robert,,Black,,1880-00-00,,1880-00-00,Person,lived,1853,1880,42.36057,-71.06505,16 Belknap,,,,,Grover and da Silva,,,,,Robert Johnson lived here in 1880. Source: Grover and da Silva,"Boston, 1780-1880"
Johnson,Robert,,Black,,1880-00-00,,1880-00-00,Person,lived,1836,1850,42.36024,-71.06515,27 Belknap,,,,,Grover and da Silva,,,,,Robert Johnson lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Johnson,Phillip,laborer,Black,,,,,Person,lived,1813,1827,,,7 Smith Court,,,,,Grover and da Silva,,,,,Phillip Johnson lived here in 1827. Source: Grover and da Silva,"Boston, 1780-1880"
Johnson,Jane,,Black,1814-00-00,1872-00-00,1856-00-00,1872-00-00,Person,lived,1856,1857,42.36007,-71.06922,1 Southac Court,,,,,Grover and da Silva,Q16065540,,,,Jane Johnson lived here in 1857. Source: Grover and da Silva,"Boston, 1780-1880"
Johnson (née Bell),Evelina,,Black,,1891-00-00,186U-00-00,1891-00-00,Person,lived,1866,1891,42.36057,-71.06505,16 Belknap,,,,,Grover and da Silva,,,,,Evelina Johnson (née Bell) lived here in 1891. Source: Grover and da Silva,"Boston, 1780-1880"
Johnson (née West),Clarissa,,Black,,1863-00-00,,1863-00-00,Person,lived,1836,1850,42.36024,-71.06515,27 Belknap,,,,,Grover and da Silva,,,,,Clarissa Johnson (née West) lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Johnson (née West),Clarissa,,Black,,1863-00-00,,1863-00-00,Person,lived,1853,1863,42.36057,-71.06505,16 Belknap,,,,,Grover and da Silva,,,,,Clarissa Johnson (née West) lived here in 1863. Source: Grover and da Silva,"Boston, 1780-1880"
LeRoy,Robert,,Black,,,1860-02-22,1860-02-26,Person,found refuge,,1860,42.36011,-71.06538,3 Smith Court,,,,,Grover and da Silva,,,In Boston as a fugitive escaping from enslavement.,,Robert LeRoy found refuge here in 1860. Notes: In Boston as a fugitive escaping from enslavement.. Source: Grover and da Silva,"Boston, 1780-1880"
Lewis,Mary Edmonia,,Black,1840-00-00,1907-00-00,1863-00-00,1865-00-00,Person,worked,,1863,42.356828,-71.061519,,990061576420203941;,,,,Roses,Q512065,,"Worked in the ""Old Studio Building""; did ""Old Arrow Maker""; ""Hygeia"" in Mt Auburn.",,"Mary Edmonia Lewis worked here in 1863. Notes: Worked in the ""Old Studio Building""; did ""Old Arrow Maker""; ""Hygeia"" in Mt Auburn.. Source: Roses","Boston, 1780-1880"
Manix,William T.,,Black,,,,,Person,worked,1855,1859,42.36036,-71.06963,81-83 Southac St,,,,,Grover and da Silva,,,,,William T. Manix worked here in 1859. Source: Grover and da Silva,"Boston, 1780-1880"
Marrant,John ,,Black,1755-00-00,1791-00-00,1781-00-00,1789-00-00,Person,spoke,1784,1789,42.357707,-71.056215,,990023022880203941; 990019093980203941;,,,,Wikipedia; Grover and da Silva,Q6246811,,"Delivered ""Sermon to the African Lodge"" in 1789 at the African Lodge of the Honorable Society of Free and Accepted Masons in Boston",,"John  Marrant spoke here in 1789. Notes: Delivered ""Sermon to the African Lodge"" in 1789 at the African Lodge of the Honorable Society of Free and Accepted Masons in Boston. Source: Wikipedia; Grover and da Silva","Boston, 1780-1880"
Middleton,George,,Black,1735-00-00,1815-00-00,,1815-00-00,Person,lived,1786,1815,42.35889,-71.06529,5 Pinckney St,,,,,Grover and da Silva,Q5542456,,,,George Middleton lived here in 1815. Source: Grover and da Silva,"Boston, 1780-1880"
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,,1874,42.336359,-71.082461,,990006020060203941; 990006022260203941; 990067672770203941; 990042818630203941; 990061464070203941; 990018428170203941,httpss://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,Wikipedia; Grover and da Silva,Q8007100,,64 Kendall St according to death record: httpss://www.ancestrylibrary.com/imageviewer/collections/2495/images/40902_264123__0120-00309,,William Cooper Nell lived here in 1874. Notes: 64 Kendall St according to death record: httpss://www.ancestrylibrary.com/imageviewer/collections/2495/images/40902_264123__0120-00309. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1821,1823,42.36049,-71.06505,20 Belknap,990006020060203941; 990006022260203941; 990067672770203941; 990042818630203941; 990061464070203941; 990018428170203941,httpss://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,Grover and da Silva,Q8007100,,,,William Cooper Nell lived here in 1823. Source: Grover and da Silva,"Boston, 1780-1880"
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1824,1825,,,27 Belknap,990006020060203941; 990006022260203941; 990067672770203941; 990042818630203941; 990061464070203941; 990018428170203941,httpss://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,Grover and da Silva,Q8007100,,,,William Cooper Nell lived here in 1825. Source: Grover and da Silva,"Boston, 1780-1880"
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1825,1828,42.36535,-71.06705,9 Second St,990006020060203941; 990006022260203941; 990067672770203941; 990042818630203941; 990061464070203941; 990018428170203941,httpss://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,Grover and da Silva,Q8007100,,,,William Cooper Nell lived here in 1828. Source: Grover and da Silva,"Boston, 1780-1880"
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1829,,,,Bridge St,990006020060203941; 990006022260203941; 990067672770203941; 990042818630203941; 990061464070203941; 990018428170203941,httpss://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,Grover and da Silva,Q8007100,,,,William Cooper Nell lived here since 1829. Source: Grover and da Silva,"Boston, 1780-1880"
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1850,1857,42.36011,-71.06538,3 Smith Court,990006020060203941; 990006022260203941; 990067672770203941; 990042818630203941; 990061464070203941; 990018428170203941,httpss://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,Grover and da Silva,Q8007100,,,,William Cooper Nell lived here in 1857. Source: Grover and da Silva,"Boston, 1780-1880"
North,Henry,,Black,,,1857-10-00,1857-10-00,Person,found refuge,,1857,42.36011,-71.06538,3 Smith Court,,,,,Grover and da Silva,,,In Boston as a fugitive escaping from enslavement.,,Henry North found refuge here in 1857. Notes: In Boston as a fugitive escaping from enslavement.. Source: Grover and da Silva,"Boston, 1780-1880"
Parker,Samuel,,Black,,,,,Person,owned,1815,1828,42.36011,-71.06553,5 Smith Court,,,,,Grover and da Silva,,,,,Samuel Parker owned here in 1828. Source: Grover and da Silva,"Boston, 1780-1880"
Paul,Thomas,pastor,Black,,,,,Person,worked,1806,1830,42.359983,-71.065481,Smith Court,,,,,Grover and da Silva,Q7793060,,,,Thomas Paul worked here in 1830. Source: Grover and da Silva,"Boston, 1780-1880"
Paul,Thomas,pastor,Black,1773-00-00,1831-00-00,1805-00-00,1831-00-00,Person,lived,1822,1831,42.35864,-71.06997,26 George St,,,,,Grover and da Silva,Q7793060,,,,Thomas Paul lived here in 1831. Source: Grover and da Silva,"Boston, 1780-1880"
Perkins,Nelson,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,,,,,Nelson Perkins lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Pero,John,barber,Black,,,,,Person,lived,1822,1847,42.3604,-71.06505,22 Belknap,,,,,Grover and da Silva,,,,,John Pero lived here in 1847. Source: Grover and da Silva,"Boston, 1780-1880"
Pitts,Coffin,clothing,Black,,,1812-00-00,1871-00-00,Person,lived,1835,1871,42.36049,-71.06502,18 Belknap,,,,,Grover and da Silva,,,,,Coffin Pitts lived here in 1871. Source: Grover and da Silva,"Boston, 1780-1880"
Pitts,Coffin,clothing,Black,,,1812-00-00,1871-00-00,Person,lived,,1826,42.36018,-71.06942,,,,,,Grover and da Silva,,,,,Coffin Pitts lived here in 1826. Source: Grover and da Silva,"Boston, 1780-1880"
Prior,Thomas,seaman,Black,,,,,Person,lived,1839,1845,,,2 Smith Court,,,,,Grover and da Silva,,,,,Thomas Prior lived here in 1845. Source: Grover and da Silva,"Boston, 1780-1880"
Putnam,George,hairdresser,Black,,,,1850-00-00,Person,worked,,1832,,,211 Washington,,,,,Grover and da Silva,,,,,George Putnam worked here in 1832. Source: Grover and da Silva,"Boston, 1780-1880"
Putnam,George,hairdresser,Black,,,,1850-00-00,Person,worked,1832,1837,,,2 Bromfield St,,,,,Grover and da Silva,,,,,George Putnam worked here in 1837. Source: Grover and da Silva,"Boston, 1780-1880"
Putnam,George,hairdresser,Black,,,,1850-00-00,Person,worked,1837,1847,,,14 School St,,,,,Grover and da Silva,,,,,George Putnam worked here in 1847. Source: Grover and da Silva,"Boston, 1780-1880"
Putnam,Jane,,Black,,,,1850-00-00,Person,lived,,,42.36057,-71.06505,16 Belknap,,,,,Grover and da Silva,,,,,Jane Putnam lived here since . Source: Grover and da Silva,"Boston, 1780-1880"
Raymond,John,minister,Black,,,,,Person,worked,1840,1843,42.359983,-71.065481,Smith Court,,,,,Grover and da Silva,,,,,John Raymond worked here in 1843. Source: Grover and da Silva,"Boston, 1780-1880"
Remond,Sarah Parker,,Black,1826-00-00,1894-00-00,,,Person,,,,,,,990066324950203941; 990006020060203941,httpss://iiif.lib.harvard.edu/manifests/view/drs:27801977$1i,httpss://iiif.lib.harvard.edu/manifests/drs:27801977,,Wikipedia,Q4794162,,,,Sarah Parker Remond here since . Source: Wikipedia,"Boston, 1780-1880"
Revinason,Henry,,Black,,,,,Person,lived,1810,1818,,,2 Smith Court,,,,,Grover and da Silva,,,,,Henry Revinason lived here in 1818. Source: Grover and da Silva,"Boston, 1780-1880"
Riley,William,clothes dealer,Black,,,,1849-00-00,Person,lived,1835,1849,42.36018,-71.0692,68-70 Southac St,,,,,Grover and da Silva,,,,,William Riley lived here in 1849. Source: Grover and da Silva,"Boston, 1780-1880"
Riley,Elizabeth,,Black,1792-00-00,1855-00-00,,1855-00-00,Person,lived,1835,1855,42.36018,-71.0692,68-70 Southac St,,,,,Grover and da Silva,Q62284560,,Source does not provide an exact date of her death.,,Elizabeth Riley lived here in 1855. Notes: Source does not provide an exact date of her death.. Source: Grover and da Silva,"Boston, 1780-1880"
Roberts,Benjamin,,Black,1815-00-00,1881-00-00,1815-00-00,1881-00-00,Person,lived,,1881,42.365543,-71.067029,,,,,,Wikipedia; BOAF; Grover and da Silva,Q60462564,,45 Barton st according to 1881 death record: httpss://www.ancestrylibrary.com/imageviewer/collections/2101/images/41262_b139292-00216,,Benjamin Roberts lived here in 1881. Notes: 45 Barton st according to 1881 death record: httpss://www.ancestrylibrary.com/imageviewer/collections/2101/images/41262_b139292-00216. Source: Wikipedia; BOAF; Grover and da Silva,"Boston, 1780-1880"
Roberts,Robert,,Black,1780-00-00,1860-00-00,1825-00-00,1860-00-00,Person,lived,1816,1860,42.365486,-71.067084,8 Second St,990022260510203941;,,,,Wikipedia; Grover and da Silva,Q6074715,httpss://d.lib.msu.edu/fa/43; httpss://archive.org/details/houseservantsdir00robe,8 Napier according to death records: httpss://www.ancestrylibrary.com/imageviewer/collections/2495/images/40902_264116__0002-00038,,Robert Roberts lived here in 1860. Notes: 8 Napier according to death records: httpss://www.ancestrylibrary.com/imageviewer/collections/2495/images/40902_264116__0002-00038. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Roberts,Robert,,Black,1780-00-00,1860-00-00,1812-00-00,1860-00-00,Person,owned,1841,1860,42.36062,-71.06502,14 Belknap St,990022260510203941;,,,,Wikipedia; Grover and da Silva,Q6074715,httpss://d.lib.msu.edu/fa/43; httpss://archive.org/details/houseservantsdir00robe,71 Joy Street according to NPS documents: httpss://irma.nps.gov/DataStore/DownloadFile/455030,,Robert Roberts owned here in 1860. Notes: 71 Joy Street according to NPS documents: httpss://irma.nps.gov/DataStore/DownloadFile/455030. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Roberts,Robert,,Black,1780-00-00,1860-00-00,1825-00-00,1860-00-00,Person,owned,,1860,42.36535,-71.06705,9 Second St,990022260510203941;,,,,Wikipedia; Grover and da Silva,Q6074715,httpss://d.lib.msu.edu/fa/43; httpss://archive.org/details/houseservantsdir00robe,,,Robert Roberts owned here in 1860. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Roberts,Benjamin,,Black,1815-00-00,1881-00-00,1815-00-00,1881-00-00,Person,lived,1847,,42.36532,-71.06252,3 Andover St,,,,,Grover and da Silva,Q60462564,,,,Benjamin Roberts lived here since 1847. Source: Grover and da Silva,"Boston, 1780-1880"
Roby,Scipio,laborer,Black,,,,,Person,lived,,1824,42.359983,-71.065481,basement of the African Meeting House,,,,,Grover and da Silva,,,,,Scipio Roby lived here in 1824. Source: Grover and da Silva,"Boston, 1780-1880"
Rock,John Sweat,,Black,,1866-00-00,1853-00-00,1866-00-00,Person,lived,1860,1866,42.36036,-71.06963,81-83 Southac St,,,,,Grover and da Silva,Q6255335,,,,John Sweat Rock lived here in 1866. Source: Grover and da Silva,"Boston, 1780-1880"
Rock,Maria,,Black,,,,,Person,lived,1860,1868,42.36036,-71.06963,81-83 Southac St,,,,,Grover and da Silva,,,,,Maria Rock lived here in 1868. Source: Grover and da Silva,"Boston, 1780-1880"
Ruffin,Josephine St. Pierre ,,Black,1842-00-00,1924-00-00,1842-00-00,1924-00-00,Person,lived,,1895,42.359126,-71.070575,103 Charles St,,,,,Wikipedia,Q6288450,,1895 Boston Directory,,Josephine St. Pierre  Ruffin lived here in 1895. Notes: 1895 Boston Directory. Source: Wikipedia,"Boston, 1780-1880"
Ruffin,Josephine St. Pierre ,,Black,1842-00-00,1924-00-00,1842-00-00,1924-00-00,Person,lived,,1910,42.360005,-71.07094,146 Charles St,,,,,Wikipedia,Q6288450,,1910 Federal census ,,Josephine St. Pierre  Ruffin lived here in 1910. Notes: 1910 Federal census . Source: Wikipedia,
Ruffin,Josephine St. Pierre ,,Black,1842-00-00,1924-00-00,1842-00-00,1924-00-00,Person,lived,,1920,42.340727,-71.08068,224 W. Springfield,,,,,Wikipedia,Q6288450,,1920 Federal census,,Josephine St. Pierre  Ruffin lived here in 1920. Notes: 1920 Federal census. Source: Wikipedia,
Scarlett,Joseph,,Black,,,,,Person,owned,1857,1898,,,7 Smith Court,,,,,Grover and da Silva,,,,,Joseph Scarlett owned here in 1898. Source: Grover and da Silva,"Boston, 1780-1880"
Scarlett,Joseph,,Black,,,,,Person,owned,1858,1898,,,7A Smith Court,,,,,Grover and da Silva,,,,,Joseph Scarlett owned here in 1898. Source: Grover and da Silva,"Boston, 1780-1880"
Scarlett,Joseph,,Black,,,,,Person,owned,1852,1878,,,2 Smith Court,,,,,Grover and da Silva,,,,,Joseph Scarlett owned here in 1878. Source: Grover and da Silva,"Boston, 1780-1880"
Scarlett,Joseph,,Black,,,,,Person,lived,1860,1868,,,2 Smith Court,,,,,Grover and da Silva,,,,,Joseph Scarlett lived here in 1868. Source: Grover and da Silva,"Boston, 1780-1880"
Scott,James,,Black,,,,,Person,lived,1839,1865,42.36011,-71.06538,3 Smith Court,,,,,Grover and da Silva,,,,,James Scott lived here in 1865. Source: Grover and da Silva,"Boston, 1780-1880"
Skeene,Edward,laborer and seaman,Black,,,,,Person,lived,1842,1844,42.359983,-71.065481,basement of the African Meeting House,,,,,Grover and da Silva,,,,,Edward Skeene lived here in 1844. Source: Grover and da Silva,"Boston, 1780-1880"
Smith,John J.,,Black,,1906-00-00,1840-00-00,1906-00-00,Person,lived,1878,,42.35875,-71.06971,86 Pinckney St,,,,,Grover and da Silva,Q41451039,,,,John J. Smith lived here since 1878. Source: Grover and da Silva,"Boston, 1780-1880"
Smith,Georgiana,,Black,,,,,Person,lived,1878,,42.35875,-71.06971,86 Pinckney St,,,,,Grover and da Silva,,,,,Georgiana Smith lived here since 1878. Source: Grover and da Silva,"Boston, 1780-1880"
Smith,John J,,Black,1820-00-00,1906-00-00,184U-00-00,1906-00-00,Person,lived,,1850,42.358706,-71.069694,,,,,,Wikipedia; BOAF,Q41451039,,,,John J Smith lived here in 1850. Source: Wikipedia; BOAF,"Boston, 1780-1880"
Snowden,Samuel,preacher,Black,1765-00-00,1850-10-08,1818-00-00,1850-10-08,Person,lived,1842,1850,42.36036,-71.06932,73 Southac,,,,,Grover and da Silva,Q16066418,,,,Samuel Snowden lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Stewart,Maria W. ,,Black,1803-00-00,1879-00-00,1826-00-00,1833-00-00,Person,lived,1829,1834,42.360792,-71.065015,8 Belknap St,,,,,Wikipedia; Grover and da Silva,Q13560246,httpss://archive.org/details/meditationsfromp00stew,8 Belknap Street is now 81 Joy Street,,Maria W.  Stewart lived here in 1834. Notes: 8 Belknap Street is now 81 Joy Street. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Stewart,James,,Black,,1829-00-00,,1829-00-00,Person,lived,1829,1834,42.360792,-71.065015,8 Belknap St,,,,,Grover and da Silva,,,8 Belknap Street is now 81 Joy Street,,James Stewart lived here in 1834. Notes: 8 Belknap Street is now 81 Joy Street. Source: Grover and da Silva,"Boston, 1780-1880"
Sumner,Charles,,white,1811-00-00,1874-00-00,1811-00-00,1874-00-00,Person,lived,1829,1867,42.3604,-71.06435,20 Hancock St,990113967550203941; 990092337160203941; 990069824080203941; 990006024960203941; 990098327540203941;,https://nrs.harvard.edu/urn-3:FHCL.HOUGH:3715359; https://nrs.harvard.edu/urn-3:HUL.ARCH:3990555; ,httpss://iiif.lib.harvard.edu/manifests/drs:15367961; httpss://iiif.lib.harvard.edu/manifests/drs:15953192; ,httpss://hollisarchives.lib.harvard.edu/repositories/24/resources/2605; httpss://hollisarchives.lib.harvard.edu/repositories/24/resources/1477,Grover and da Silva,Q1066198,,,,Charles Sumner lived here in 1867. Source: Grover and da Silva,"Boston, 1780-1880"
Taylor,John R.,,Black,,,,,Person,worked,1848,1855,42.36036,-71.06963,81-83 Southac St,,,,,Grover and da Silva,,,,,John R. Taylor worked here in 1855. Source: Grover and da Silva,"Boston, 1780-1880"
Taylor,John R.,,Black,,,,,Person,worked,1846,1847,,,40 Southac St,,,,,Grover and da Silva,,,,,John R. Taylor worked here in 1847. Source: Grover and da Silva,"Boston, 1780-1880"
Walker,David ,,Black,1796-00-00,1830-00-00,1825-00-00,1830-00-00,Person,lived,,1826,42.36018,-71.06942,,990068585330203941; 990024098230203941; 990072339890203941;,,,,Wikipedia; Grover and da Silva,Q1177046,httpss://archive.org/details/walkersappealinf00walk,"""Tax records from spring 1826 locate him—with Coffin Pitts, soon to be his neighbor on Belknap Street—in a boardinghouse run by Samuel Guild on Southac Street between Grove and West Cedar"" Kathryn Grover and Janine V. da Silva ""Historic Resource Study Boston African American National Historic Site,"" 31 December 2002.",,"David  Walker lived here in 1826. Notes: ""Tax records from spring 1826 locate him—with Coffin Pitts, soon to be his neighbor on Belknap Street—in a boardinghouse run by Samuel Guild on Southac Street between Grove and West Cedar"" Kathryn Grover and Janine V. da Silva ""Historic Resource Study Boston African American National Historic Site,"" 31 December 2002.. Source: Wikipedia; Grover and da Silva","Boston, 1780-1880"
Walker,David ,,Black,1796-00-00,1830-00-00,1825-00-00,1830-00-00,Person,lived,1827,1829,42.360792,-71.065015,8 Belknap St,990068585330203941; 990024098230203941; 990072339890203941;,,,,Wikipedia; Grover and da Silva,Q1177046,httpss://archive.org/details/walkersappealinf00walk,8 Belknap Street is now 81 Joy Street,,David  Walker lived here in 1829. Notes: 8 Belknap Street is now 81 Joy Street. Source: Wikipedia; Grover and da Silva,"Boston, 1780-1880"
Walker,David ,,Black,1796-00-00,1830-00-00,1825-00-00,1830-00-00,Person,lived,1829,1830,,,,990068585330203941; 990024098230203941; 990072339890203941;,,,,Wikipedia; Grover and da Silva,Q1177046,httpss://archive.org/details/walkersappealinf00walk,"""by the spring of 1829 he had moved to Bridge (now North Anderson) Street, on the north""",,"David  Walker lived here in 1830. Notes: ""by the spring of 1829 he had moved to Bridge (now North Anderson) Street, on the north"". Source: Wikipedia; Grover and da Silva","Boston, 1780-1880"
Washington,George,bootblack and waiter,Black,1795-00-00,1871-00-00,,1871-00-00,Person,lived,1849,1871,42.36011,-71.06553,5 Smith Court,,,,,Grover and da Silva,,,,,George Washington lived here in 1871. Source: Grover and da Silva,"Boston, 1780-1880"
Washington,George,bootblack,Black,1795-00-00,1871-00-00,1830-00-00,1871-00-00,Person,worked,,1830,,,Water St,,,,,Grover and da Silva,,,,,George Washington worked here in 1830. Source: Grover and da Silva,"Boston, 1780-1880"
Washington,Benjamin F.,tailor,Black,1841-00-00,,,,Person,worked,1880,1888,,,713 Tremont St,,,,,Grover and da Silva,,,,,Benjamin F. Washington worked here in 1888. Source: Grover and da Silva,"Boston, 1780-1880"
Washington,Benjamin F.,tailor,Black,1841-00-00,,,,Person,lived,1841,,42.36011,-71.06553,5 Smith Court,,,,,Grover and da Silva,,,,,Benjamin F. Washington lived here since 1841. Source: Grover and da Silva,"Boston, 1780-1880"
West,William,,Black,,,1860-02-22,1860-03-04,Person,found refuge,,1860,42.36011,-71.06538,3 Smith Court,,,,,Grover and da Silva,,,In Boston as a fugitive escaping from enslavement.,,William West found refuge here in 1860. Notes: In Boston as a fugitive escaping from enslavement.. Source: Grover and da Silva,"Boston, 1780-1880"
Williams,Domingo,caterer,Black,,,,,Person,lived,1822,1826,42.359983,-71.065481,basement of the African Meeting House,,,,,Grover and da Silva,,,,,Domingo Williams lived here in 1826. Source: Grover and da Silva,"Boston, 1780-1880"
Wilson,Harriet,,Black,1825-00-00,1900-00-00,1860-00-00,1900-00-00,Person,lived,,1875,42.350876,-71.066759,,,,,,Wikipedia,Q3376165,,Had several addresses according to https://www.harrietwilsonproject.net/harriet-wilson-.html and the intro to the Penguin Edition of Our Nig; she lived at 46 Carver St between 1872 and 1877,,Harriet Wilson lived here in 1875. Notes: Had several addresses according to https://www.harrietwilsonproject.net/harriet-wilson-.html and the intro to the Penguin Edition of Our Nig; she lived at 46 Carver St between 1872 and 1877. Source: Wikipedia,"Boston, 1780-1880"
Wise,Frank,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,Grover and da Silva,,,,,Frank Wise lived here in 1850. Source: Grover and da Silva,"Boston, 1780-1880"
Woodfork,Lawrence,,Black,,,,,Person,lived,1856,1857,42.36007,-71.06922,1 Southac Court,,,,,Grover and da Silva,,,,,Lawrence Woodfork lived here in 1857. Source: Grover and da Silva,"Boston, 1780-1880"
York,Lewis,waiter,Black,,,,,Person,lived,1822,1835,42.36049,-71.06502,18 Belknap,,,,,Grover and da Silva,,,,,Lewis York lived here in 1835. Source: Grover and da Silva,"Boston, 1780-1880"
Alexander,S. R.,cordwainer,Black,,,,,Person,lived,,1836,42.36099,-71.06507,house 2 Belknap,,,,,"Stimpson's Boston Directory, 1836",,,Belknap Street is where Joy Street is now. Based on estimation from 8 Belknap Street being 81 Joy Street,,"S. R. Alexander lived here in 1836. Notes: Belknap Street is where Joy Street is now. Based on estimation from 8 Belknap Street being 81 Joy Street. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Allen,Jesse,laborer,Black,,,,,Person,lived,,1836,42.36587,-71.05376,house Robinson lane,,,,,"Stimpson's Boston Directory, 1836",,,,,"Jesse Allen lived here in 1836. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Anderson,Esther,washwoman,Black,,,,,Person,lived,,1836,42.36459,-71.05173,rear 245 Ann,,,,,"Stimpson's Boston Directory, 1836",,,Ann St is where North Street is now. Estimated based off Harris and North Streets being at 306 Ann Street and North Street and Langdon Place being at 179 Ann Street.,,"Esther Anderson lived here in 1836. Notes: Ann St is where North Street is now. Estimated based off Harris and North Streets being at 306 Ann Street and North Street and Langdon Place being at 179 Ann Street.. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Barbadoes,Isaac,tailor,Black,,,,,Person,lived,,1836,42.36046,-71.06515,house 21 Belknap,,,,,"Stimpson's Boston Directory, 1836",,,Belknap Street is where Joy Street is now. Based on estimation from 8 Belknap Street being 81 Joy Street,,"Isaac Barbadoes lived here in 1836. Notes: Belknap Street is where Joy Street is now. Based on estimation from 8 Belknap Street being 81 Joy Street. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Barbadoes,Joseph,barber,Black,,,,,Person,lived,,1836,42.36046,-71.06515,house 21 Belknap,,,,,"Stimpson's Boston Directory, 1836",,,Belknap Street is where Joy Street is now. Based on estimation from 8 Belknap Street being 81 Joy Street,,"Joseph Barbadoes lived here in 1836. Notes: Belknap Street is where Joy Street is now. Based on estimation from 8 Belknap Street being 81 Joy Street. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Barbadoes,James G.,,Black,,,,,Person,lived,,1836,42.36097,-71.06644,house 5 Butolph,,,,,"Stimpson's Boston Directory, 1836",,,Butolph Street is now Irving Street,,"James G. Barbadoes lived here in 1836. Notes: Butolph Street is now Irving Street. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Barbadoes,James G.,,Black,,,,,Person,worked,,1836,42.35957,-71.057,31 Exchange,,,,,"Stimpson's Boston Directory, 1836",,,,,"James G. Barbadoes worked here in 1836. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Barbadoes,Joseph,hairdresser,Black,,,,,Person,lived,,1836,42.36421,-71.05556,Salem,,,,,"Stimpson's Boston Directory, 1836",,,,,"Joseph Barbadoes lived here in 1836. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Bassett,Benjamin P.,hairdresser,Black,,,,,Person,lived,,1836,42.36372,-71.05726,68 Pond,,,,,"Stimpson's Boston Directory, 1836",,,Pond Street is now Endicott Street,,"Benjamin P. Bassett lived here in 1836. Notes: Pond Street is now Endicott Street. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
Beck,Samuel,laborer,Black,,,,,Person,lived,,1836,42.36092,-71.06999,house 3 George,,,,,"Stimpson's Boston Directory, 1836",,,George St is now the north section of West Cedar Street,,"Samuel Beck lived here in 1836. Notes: George St is now the north section of West Cedar Street. Source: Stimpson's Boston Directory, 1836","Stimpson's Boston Directory, 1836"
